movie_name,year,runtime,rating,detail_about_movie,director,actor_1,actor_2,votes,metascore,gross_collection,action,adventure,animation,biography,comedy,crime,drama,family,fantasy,film-noir,history,horror,music,musical,mystery,romance,sci-fi,sport,thriller,war,western
Sunset Blvd.,1950,110,8.4,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Billy Wilder,William Holden,Gloria Swanson,213877,82.44954128440367,32.285,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Great Dictator,1940,125,8.4,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Charles Chaplin,Charles Chaplin,Paulette Goddard,215863,82.44954128440367,0.29,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1917,2019,119,8.3,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Sam Mendes,Dean-Charles Chapman,George MacKay,518278,78.0,159.23,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Hunt,2012,115,8.3,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,310146,77.0,0.69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Separation,2011,123,8.3,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Asghar Farhadi,Payman Maadi,Leila Hatami,235060,95.0,7.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incendies,2010,131,8.3,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Denis Villeneuve,Lubna Azabal,Mélissa Désormeaux-Poulin,166777,80.0,6.86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
The Father,2020,97,8.3,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",Florian Zeller,Anthony Hopkins,Olivia Colman,113499,88.0,32.285,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Inglourious Basterds,2009,153,8.3,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Quentin Tarantino,Brad Pitt,Diane Kruger,1357332,69.0,120.54,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Eternal Sunshine of the Spotless Mind,2004,108,8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",Michel Gondry,Jim Carrey,Kate Winslet,960761,89.0,34.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Amélie,2001,122,8.3,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",Jean-Pierre Jeunet,Audrey Tautou,Mathieu Kassovitz,732054,69.0,33.23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Requiem for a Dream,2000,102,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Darren Aronofsky,Ellen Burstyn,Jared Leto,804961,68.0,3.64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Beauty,1999,122,8.3,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Sam Mendes,Kevin Spacey,Annette Bening,1115742,84.0,130.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Good Will Hunting,1997,126,8.3,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Gus Van Sant,Robin Williams,Matt Damon,915708,70.0,138.43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Children of Heaven,1997,89,8.3,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",Majid Majidi,Mohammad Amir Naji,Amir Farrokh Hashemian,71594,77.0,0.93,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Toy Story,1995,81,8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,John Lasseter,Tom Hanks,Tim Allen,941103,95.0,191.8,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braveheart,1995,178,8.3,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Mel Gibson,Mel Gibson,Sophie Marceau,999264,68.0,75.6,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Reservoir Dogs,1992,99,8.3,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Quentin Tarantino,Harvey Keitel,Tim Roth,970977,79.0,2.83,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Full Metal Jacket,1987,116,8.3,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Stanley Kubrick,Matthew Modine,R. Lee Ermey,710376,76.0,46.36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Come and See,1985,142,8.3,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Elem Klimov,Aleksey Kravchenko,Olga Mironova,70608,82.44954128440367,32.285,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Aliens,1986,137,8.3,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",James Cameron,Sigourney Weaver,Michael Biehn,687704,84.0,85.16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Once Upon a Time in America,1984,229,8.3,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",Sergio Leone,Robert De Niro,James Woods,335091,75.0,5.32,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amadeus,1984,160,8.3,"The life, success and troubles of , as told by , the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",Milos Forman,F. Murray Abraham,Tom Hulce,386835,88.0,51.97,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Scarface,1983,170,8.3,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",Brian De Palma,Al Pacino,Michelle Pfeiffer,791227,65.0,45.6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",Richard Marquand,Mark Hamill,Harrison Ford,999891,58.0,309.13,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Das Boot,1981,149,8.3,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",Wolfgang Petersen,Jürgen Prochnow,Herbert Grönemeyer,243269,86.0,11.49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dersu Uzala,1975,142,8.3,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,Akira Kurosawa,Maksim Munzuk,Yuriy Solomin,26538,82.44954128440367,32.285,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Sting,1973,129,8.3,Two grifters team up to pull off the ultimate con.,George Roy Hill,Paul Newman,Robert Redford,253296,83.0,159.6,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Clockwork Orange,1971,136,8.3,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Stanley Kubrick,Malcolm McDowell,Patrick Magee,795715,77.0,6.21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2001: A Space Odyssey,1968,149,8.3,"The Monoliths push humanity to reach for the stars; after their discovery in Africa generations ago, the mysterious objects lead mankind on an awesome journey to Jupiter, with the help of H.A.L. 9000: the world's greatest supercomputer.",Stanley Kubrick,Keir Dullea,Gary Lockwood,638955,84.0,56.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Lawrence of Arabia,1962,228,8.3,"The story of , the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",David Lean,Peter O'Toole,Alec Guinness,283057,100.0,44.82,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Apartment,1960,125,8.3,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Billy Wilder,Jack Lemmon,Shirley MacLaine,174676,94.0,18.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
North by Northwest,1959,136,8.3,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",Alfred Hitchcock,Cary Grant,Eva Marie Saint,316258,98.0,13.28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Vertigo,1958,128,8.3,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",Alfred Hitchcock,James Stewart,Kim Novak,387477,100.0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Singin' in the Rain,1952,103,8.3,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,Stanley Donen,Gene Kelly,Gene Kelly,232106,99.0,8.82,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Ikiru,1952,143,8.3,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Akira Kurosawa,Takashi Shimura,Nobuo Kaneko,74978,82.44954128440367,0.06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicycle Thieves,1948,89,8.3,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Vittorio De Sica,Lamberto Maggiorani,Enzo Staiola,157775,82.44954128440367,0.33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double Indemnity,1944,107,8.3,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",Billy Wilder,Fred MacMurray,Barbara Stanwyck,151725,95.0,5.72,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Citizen Kane,1941,119,8.3,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",Orson Welles,Orson Welles,Joseph Cotten,427403,100.0,1.59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
M,1931,99,8.3,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Fritz Lang,Peter Lorre,Ellen Widmann,152542,82.44954128440367,0.03,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Metropolis,1927,153,8.3,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Fritz Lang,Brigitte Helm,Alfred Abel,168795,98.0,1.24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
